# Parity manifest: which comparison tier each corpus input and
# observable is entitled to. Published evidence, regenerated by
# `zig build parity-manifest -Denable-oracle=true`; the portable
# gate lives in conformance/parity_expectations.tsv.
#
# Coordinate deviations are in bond lengths (one bond = 50 units)
# and are per-(architecture, toolchain, optimize-mode) values: they
# describe the build that produced this file, not a promise about
# any other build.
#
# member	bucket	atoms	status	clean_pose	arch_unstable	order_unstable	arch_max_dev_bl	order_max_dev_bl
adversarial/235	large	50	ok	0	coordinates,component_transforms,component_transforms_set	-	0.326	0.000
adversarial/236	tiny	3	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/237	small	22	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/238	medium	39	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/239	large	62	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/240	medium	30	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/241	small	20	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/242	huge	85	ok	0	coordinates,dofs,dofs_set,component_transforms,component_transforms_set	-	21.701	0.000
adversarial/243	tiny	8	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/244	small	22	ok	0	coordinates,component_transforms,component_transforms_set	-	0.049	0.000
adversarial/245	medium	45	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/246	large	50	ok	0	coordinates,component_transforms,component_transforms_set	-	1.547	0.000
adversarial/247	medium	34	ok	0	component_transforms,component_transforms_set	-	0.000	0.000
adversarial/248	small	11	ok	1	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/249	medium	33	ok	0	coordinates,component_transforms,component_transforms_set	-	0.000	0.000
adversarial/250	medium	38	ok	0	coordinates,component_transforms,component_transforms_set	-	0.001	0.000
adversarial/251	large	55	ok	0	coordinates,component_transforms,component_transforms_set	-	0.012	0.000
adversarial/252	tiny	9	ok	1	component_transforms,component_transforms_set	-	0.000	0.000
